Fornovo Di Taro; Piazza Iv Novembre; Ostello Parrocchia Santa Maria Assunta; 44.691309080007365, 10.097344954271758; +39 3332194636, +39 05252218; open all year, 4 beds, type: convents and parishes; https://www.viefrancigene.org/en/resource/accomodation/vf19-10-fornovo-di-taro-parrocchia-assunzione-di-m/
Calestano; Via Canesano 4; La Locanda Nel Vento; 44.59522584214005, 10.122909918106469; +39 3356621523; two double rooms; https://www.viefrancigene.org/en/resource/accomodation/vf20-60-calestano-la-locanda-nel-vento/
Cassio; Via Nazionale; Ostello Di Cassio; 44.58516545325356, 10.033963705189986; +39 05251700885, +39 3516111362; ; https://www.viefrancigene.org/en/resource/accomodation/vf19-25-cassio-ostello-di-cassio/
Cavazzola; Località Cavazzola 70; Pop Biutiful; 44.56077485585181, 10.014051992197329; +39 3335287812; open all year, booking recommended, 20 per night; https://www.viefrancigene.org/en/resource/accomodation/vf20-95-cavazzola-pop-biutiful/
Passo Della Cisa; Strada statale 62; Capanna TWIN; 44.47203379111828, 9.930235294386579; +39 3479069545, +39 3348696728;open august - sep, single 20 without sheets; https://www.viefrancigene.org/en/resource/accomodation/vf21-90-passo-della-cisa-capanna-twin/
Passo Della Cisa; ; Ostellio Passo Della Cisa; 44.47164175054763, 9.927604542011562; +39 0525 64153; ;
Groppodalosio; Località Groppodalosio Inferiore 8; Temperance; 44.422237105503655, 9.942386229090133; +39 3757825734; type: private house, price: donation; https://www.viefrancigene.org/en/resource/accomodation/vf22-70-pontremoli-temperance/
Pontremoli; Porta Di Parma; Ostello Castello Del Piagnaro; 44.379983376329115, 9.881339935697403; +39 0187831439; type: convents and parishes, closed on mondays; https://www.viefrancigene.org/en/resource/accomodation/vf22-30-pontremoli-castello-del-piagnaro/
Pontremoli; Via Ai Cappuccini 6; Convento Padri Cappuccini Di Pontremoli; 44.376064043176186, 9.886032565400669; +39 0187830395, +39 3391956770; lots of space, price: donation, official checkin: 15 to 19; https://www.viefrancigene.org/en/resource/accomodation/vf22-90-pontremoli-ostello-dei-frati-cappuccini/, https://cappuccinipontremoli.it/ospitalita/
? Pontremoli; P.Za S. Francesco 10; Seminario Di Pontremoli; 44.37585287413812, 9.881720333615338; +39 3333321782; ;
? Lusignana; Lusignana; Ostello Del Pellegrino; 44.39540373975214, 10.476984616861985; ; ;
Filetto, Villafranca In Lunigiana; Via Borgo Alberti 19; Gredo Antica Dimora; 44.30127568120002, 9.9608893665349; +39 3494275289; open all year, min. two people, 20 per night incl. breakfast; https://www.viefrancigene.org/en/resource/accomodation/vf23-50-filetto-gredo-antica-dimora/
Aulla; Piazza Abbazia; Abbazia Di San Caprasio; 44.20748062518505, 9.967984681665866; +39 01871780776, +39 3669778206; type: convents and parishes, open all year; https://www.viefrancigene.org/en/resource/accomodation/vf23-10-aulla-abbazia-di-san-caprasio/
Sarzana; Via Paganino 80; Parrocchia Del Carmine; 44.11263622147313, 9.954572188637407; +39 01871500059, +39 3487294423, +39 0187620260; ; https://www.viefrancigene.org/en/resource/accomodation/vf24-50-sarzana-parrocchia-del-carmine/
Sarzana; Via Montata Di Sarzanallo 17; Cà Nardi; 44.114167121837156, 9.968841689328348; +39 3534302954; open all year, 2 available beds, type: private appartment; https://www.viefrancigene.org/en/resource/accomodation/vf24-50-sarzana-ca-nardi/
? Caniparola; Via Borghetto 111; Ospitalità Sant’Antonio; 44.10103471421531, 9.991018191585065; +39 3770497736, +39 0187673530; ;
? Avenza; Piazza Finelli 11; Parrocchia San Pietro Apostolo; 44.046758326363985, 10.062339793907352; +39 0585857203, +39 3388333413; ;
Avenza; Via Provinciale Avenza-Sarzana 48; BnB New Life; 44.05497643227092, 10.052949309556082; +39 3737482862; ; https://www.viefrancigene.org/en/resource/accomodation/vf25-60-avenza-new-life/
Avenza; Piazza Carlo Finelli 11; Ostello Antonio Mazzi; 44.047089913087376, 10.06177770287528; +39 0585850273; open all year, price: donation; https://www.viefrancigene.org/en/resource/accomodation/vf25-85-avenza-ostello/
Massa; Piazza Mercurio 12/14; Ostello Palazzo Nizza; 44.03561654842385, 10.143815659314502; +39 05851886345, +39 3899836310, +39 0585914188; ; https://www.viefrancigene.org/en/resource/accomodation/vf25-30-massa-ostello-palazzo-nizza/
Montignoso; Via Santa Maria 43; Ostello Parrocchiale "Il Pane E La Rosa"; 44.01463801960287, 10.166505832650664; +39 3534302467; open end of march to beginning of november; https://www.viefrancigene.org/en/resource/accomodation/vf26-20-montignoso-ostello-parrocchiale-il-pane-e-la-rosa/
Pietrasanta; Via Della Rocca 10; Casa Diocesana La Rocca; 43.95830738583797, 10.233724379619066; +39 0584793094; open all year, type: tourist home; https://www.viefrancigene.org/en/resource/accomodation/vf25-10-pietrasanta-casa-diocesana-la-rocca/
Pianore; Loc. La Stretta; La Selvaiana; 43.93093313882878, 10.266048153090853; +39 3894308212; ; https://www.viefrancigene.org/en/resource/accomodation/vf24-80-pianore-la-selvaiana/
Camaiore; Via Madonna Della Pietà 1; Ostello Del Pellegrino; 43.93847460549575, 10.31131621210416; +39 3332672436; price 18 per night; https://www.viefrancigene.org/en/resource/accomodation/vf26-20-camaiore-ostello-del-pellegrino/
Valpromaro; Loc. Valpromaro, Via Vecchia Provinciale 15; Casa Del Pellegrino; 43.90139492817399, 10.37832436204734; +39 0584956028, +39 3276948204; type: convents and parishes; https://www.viefrancigene.org/en/resource/accomodation/vf25-30-camaiore-parrocchia-san-martino/
Piazzano; Via di Colombaia di Vecoli I, 457-477; Casa di Elio e Gabriella; 43.888713, 10.412275; 0039 349 4036369, 0039 347 9813003; open all year, price: donation; https://www.viefrancigene.org/en/resource/accomodation/vf27-40-piazzano-casa-di-elio-e-gabriella/
Lucca; Piazza Arrigoni; Statio Peregrinorum; [Coordinates]; +39 3334461186; ;
Lucca; Via Della Rosa 38; L'Ospitale Di San Martino E San Giacomo; 43.84012201268073, 10.507613934138027; +39 3334461186; open 1.6. - 30.9., price: donation, communal dinner and breakfast; https://www.viefrancigene.org/en/resource/accomodation/vf27-90-lucca-ospitale-di-san-martino-e-sgiacomo/
Lucca; Via San Leonardo 12; Pellegrinaio San Davino; 43.84790409879644, 10.509658084376492; +39 3661062641; open all year, price: donation; https://www.viefrancigene.org/en/resource/accomodation/vf27-85-lucca-pellegrinaio-san-davino/
Capannori; Via Del Popolo 182; Ostello La Salana; 43.8508887230628, 10.571922521309487; +39 3397237912, +39 0583414292; type: hostel; https://www.viefrancigene.org/en/resource/accomodation/vf28-20-capannori-ostello-la-salana/
San Miniato; P.za S. Francesco, 1; Convento San Francesco; 43.68207994419589, 10.854871958135076; +39 0571 43051; type: convents and parishes; https://www.viefrancigene.org/en/resource/accomodation/vf28-20-san-miniato-convento-sfrancesco/
Badia Pozzeveri; Via Della Chiesa; Hospitale San Pietro; 43.82233964009983, 10.643894885229537; +39 3384957991; ;
Pozzeveri; Via della Chiesa 1K; Hostal Badia; 43.82282040455091, 10.646146733421705; +39 338 4957991; open all year, price: donation; https://www.viefrancigene.org/en/resource/accomodation/vf28-85-pozzeveri-hostal-badia/
Altopascio; Piazza Ricasoli 32; Foresteria La Pistacchia; 43.8148230312932, 10.676135531028672; +39 3384957991; open all year, price: free; https://www.viefrancigene.org/en/resource/accomodation/vf28-90-altopascio-foresteria-la-pistacchia/
? Altopascio; Piazza Vittorio Emanuele 23; Biblioteca Di Altopascio; 43.81505239659044, 10.674766074817294; +39 0583240318; ;
Altopascio; Spianate Loc. Seghetti 2; Affittacamere Da Beppe; 43.80078767132265, 10.706832904328836; +39 3456373838, +39 3469454158; ; https://www.viefrancigene.org/en/resource/accomodation/vf28-95-altopascio-affittacamere-da-beppe/
Altopascio; Loc. Torre Salese 15/16; Il Picchio Verde; 43.81971787255592, 10.708775089108697; +39 3357663272; ; https://www.viefrancigene.org/en/resource/accomodation/vf28-90-altopascio-colonica-il-picchio-verde/
Chimenti; Via Romana 170; Il Melograno; [Coordinates]; +39 3459602805, +39 3666622734
Galleno; Via Della Chiesa 20; Casetta Del Pellegrino; 43.77702834132749, 10.715982392743937; +39 0571299931, +39 3669997072; open all year; https://www.viefrancigene.org/en/resource/accomodation/vf29-30-galleno-casetta-del-pellegrino/
Gambassi Terme; Via Don Minzoni 7; Casa Baldi Via Francigena; 43.541493239302035, 10.954699231693931; +39 3703169774; price: 15/20 per night; https://www.viefrancigene.org/en/resource/accomodation/vf29-90-gambassi-terme-casa-baldi-francigena/
Fucecchio; Via Colombo 308/310; Ostello Il Ponte Dei Medici; 43.74429967164034, 10.770411809215807; +39 0571297831; 2.4 rating on GMaps, unclear whether accept pilgrim pass; https://www.google.com/maps/place/Ostello+Ponte+de%E2%80%99+Medici/@43.7442818,10.7701406,19.81z/data=!4m10!3m9!1s0x132a7be2369163f1:0xe88329a797bb8173!5m3!1s2025-03-09!4m1!1i2!8m2!3d43.7442054!4d10.7703123!16s%2Fg%2F11ny030tm0!5m1!1e2?entry=ttu
San Miniato; Via Gargozzi 34; L'Hospitale Del Pellegrino; 43.677475109256434, 10.85257299689746; +39 3934995126; ;
San Miniato; Via Vittime Del Duomo 4; Ostello Di San Miniato; 43.67944443585296, 10.85276156533606; +39 3387997004; price: 19, checkin from 16 to 18; https://www.viefrancigene.org/en/resource/accomodation/vf28-90-san-miniato-ostello-san-miniato/, https://www.ostellosanminiato.com/tariffa-e-servizi/
San Miniato; Via Giosuè Carducci 2; Affittacamere San Miniato; 43.67848668187771, 10.847089071157617; +39 3533890839; ; https://www.viefrancigene.org/en/resource/accomodation/vf29-90-san-miniato-affittacamere-san-miniato/
San Miniato; Via Dalmazia 11; Casa Dalma; 43.67606422322195, 10.841408393987042; +39 3481211017; open: jan to nov (incl.), price: 20; https://www.viefrancigene.org/en/resource/accomodation/vf29-90-san-miniato-b-and-b-casa-dalma/
Certaldo; Loc. Aia Murata sp50 km 1; Agricamping Poggio ai Pini; 43.54523437756456, 11.061733419971148; +39 3384783260; ; https://www.viefrancigene.org/en/resource/accomodation/vf29-95-certaldo-agricamping-poggio-ai-pini/
Gambassi Terme; Pieve Santa Maria In Chianni; Ostello Sigerico; 43.54693533279927, 10.958680560881788; +39 3247968837, +39 0571639044; open all year, price: 16, dinner: 16, breakfast: 5; https://www.viefrancigene.org/en/resource/accomodation/vf-29-50-gambassi-terme-ostello-sigerico/
Gambassi Terme; Loc. Borgoforte, Via Santa Maria Chianni 10 A; La Sosta Di Roberto; [Coordinates]; +39 3801280722; ;
Gambassi Terme; Vicolo Del Giglio 1/A; Casa Giulia Sulla Francigena; 43.539473578967446, 10.955414034535181; +39 3297323818; ; https://www.viefrancigene.org/en/resource/accomodation/vf29-90-gambassi-terme-casa-giulia-sulla-francigen/
Gambassi Terme; Via G. Gonnelli 21; Casa Alla Cisterna; 43.53949371993314, 10.95509715801748; +39 3388940333; price: 20; https://www.viefrancigene.org/en/resource/accomodation/vf30-90-gambassi-terme-casa-alla-cisterna/
Castellina Scalo; Piazza Cristo Re, 2; Parrocchia San Michele; 43.40583501160365, 11.209528571786644; +39 335 6651581, +39 335 6651581; ; https://www.viefrancigene.org/en/resource/accomodation/vf30-70-castellina-chianti-parrocchia-smichele/
San Gimignano; Via S. Lucia 38/C; Villaggio Del Pellegrino (Camping Boschetto Di Piemma); 43.45354690293833, 11.054033145778426; +39 0577907134; open april to october, 20 for a bed; https://www.viefrancigene.org/en/resource/accomodation/vf31-90-san-gimignano-il-villaggio-del-pellegrino/
San Gimignano; Piazza Sant'Agostino 2; Ospitale Dei Santi Agostino E Giacomo; 43.47074151158697, 11.041597439801507; +39 3890271946; price: donation; https://www.viefrancigene.org/en/resource/accomodation/vf30-90-san-gimignano-ospitale-dei-santi-agostino-e-giacomo/
Colle Val D’Elsa; Via San Francesco 4; Convento Di San Francesco; 43.422537510709105, 11.11607573567788; +39 0577920040; ; https://www.viefrancigene.org/en/resource/accomodation/vf30-50-colle-val-delsa-convento-di-san-francesco/
Colle Val D’Elsa; Loc. San Donato; Campo Piro E More; 43.38733247621089, 11.081491803096855; +39 3453918301; free for tents, includes fire pit and drinking and washing water; https://www.viefrancigene.org/en/resource/accomodation/vf32-50-colle-val-delsa-campo-piro-e-more/
Colle Val D’Elsa; Via Xxv Aprile 104; Ostello Cartiera La Buca; 43.419423545846975, 11.132211652472307; +39 3391487200; price: 20 incl. breakfast; https://www.viefrancigene.org/en/resource/accomodation/vf32-50-colle-val-delsa-ostello-cartiera-la-buca/
Colle Val D’Elsa; Via Mainardi 13; La Casina Dei Pellegrini; 43.414734743054005, 11.078766232845682; +39 3453918301; open all year, price: donation; https://www.viefrancigene.org/en/resource/accomodation/vf32-50-colle-val-delsa-la-casina-dei-pellegrini/
Abbadia Isola; Abbadia Isola 4; Ospitale S. Cirino E Giacomo; 43.38757811798418, 11.19493516858455; +39 3534457274, +39 3356651581, +39 3714717079, +39 327 4246 482; open all year, donation only for trips min. 30d, sheets and towels 3, reservations through last phone number (ideally WhatsApp); https://www.viefrancigene.org/en/resource/accomodation/vf30-50-abbadia-isola-ospitale-dei-santi-cirino-e/
Abbadia Isola; Piazza Garfonda 4; Ostello Contessa Ava Dei Lambardi; 43.387155215345636, 11.195112841245878; +39 3294080011, +39 05771794759; first number WhatsApp, open all year + disruptions in jan-feb, price: 19, sleeping bag not allowed; https://www.viefrancigene.org/en/resource/accomodation/ostello-contessa-ava/
Monteriggioni; Piazza Roma 23; Castello Casa Per Ferie Maria Assunta; 43.39016893622902, 11.224038585659455; +39 3288234546, +39 3371 471 7079, +39 0577 304081; open all year, price: 23.5, price sheets and towel: 3, donation maybe in winter; https://www.viefrancigene.org/en/resource/accomodation/vf32-60-monteriggioni-casa-ferie-santa-maria-assun/
Monteriggioni; Strada Della Villa 17; Agricola Fratelli Marchi; 43.34610532726407, 11.246354151976792; +39 3289190964; ; https://www.viefrancigene.org/en/resource/accomodation/vf32-90-monteriggioni-agricola-fratelli-marchi/
Monteriggioni; Strada Di Bracciano 12; Affittacamere La Casella; 43.373616200652144, 11.235675702730067; +39 3284835588; open all year, price single room: 30; https://www.viefrancigene.org/en/resource/accomodation/vf32-80-monteriggioni-affittacamere-la-casella/
? Siena; Via San Girolamo 8; Accoglienza Santa Luisa; 43.31638873338487, 11.336701798249287; +39 057721271; ;
Siena; Strada Di Scacciapensieri 47; Camping Siena Colleverde; 43.33691363849472, 11.33136401400319; +39 0577334080; ; https://www.viefrancigene.org/en/resource/accomodation/vf33-90-camping-siena-colleverde/
Siena; Piazza Manzoni 5; Foresteria San Clemente Ai Servi; 43.315867736343144, 11.338572368669668; +39 0577222633; ; https://www.viefrancigene.org/en/resource/accomodation/vf33-90-siena-foresteria-san-clemente-ai-servi/
Siena; Viale Mazzini 36; Camera Sabrina Erdas; 43.32742999090871, 11.330014169480933; +39 3406047608; ; https://www.viefrancigene.org/en/resource/accomodation/vf33-90-siena-casa-sabrina-erdas/
Siena; Via di San Girolamo 8; Parrocchia San Martino; 43.316497648080066, 11.33662531802602; +39 0577 21271, +39 338 604 8009;open all year, open 6-22:30; https://www.viefrancigene.org/en/resource/accomodation/vf33-90-siena-parrocchia-san-martino/
Siena; Via Fiorentina 89; Siena Hostel; 43.3405024283129, 11.305807357240504; +39 05771698177; ; https://www.google.com/maps/place/Siena+Hostel+Guidoriccio/@43.3406807,11.3054705,19.75z/data=!4m16!1m5!3m4!2zNDPCsDIwJzI1LjgiTiAxMcKwMTgnMjAuOSJF!8m2!3d43.3405024!4d11.3058074!3m9!1s0x132a2cfc7b982003:0x8bc1e84c1b69e776!5m3!1s2025-03-09!4m1!1i1!8m2!3d43.3404551!4d11.3055555!16s%2Fg%2F12hlzsr1c!5m1!1e2?entry=ttu
Monteroni D’Arbia; Piazza Gramsci 7; Casa Privata Letizia Lusini; 43.22505410870831, 11.41854446227696; +39 3382172483; ; https://www.viefrancigene.org/en/resource/accomodation/casa-privata-letizia-lusini/
Ponte D’Arbia; S.S. Cassia; Centro Cresti; 43.16564968209936, 11.467272209176077; +39 3277197439; price: donation; https://www.viefrancigene.org/en/resource/accomodation/vf32-50-monteroni-darbia-centro-cresti/, https://centrocresti.it/en/guidelines-2/
Castelnuovo Dell’Abate; Località S. Antimo 222, 53024; Abbazia Di Sant’Antimo; 42.99956073742458, 11.516156410273377; +39 0577286300; ; https://www.viefrancigene.org/en/resource/accomodation/vf35-60-torrenieri-abbazia-di-santantimo/
Torrenieri; Via Cesare Battisti 37; Pellegrinaio Del Poggio; 43.08765445309129, 11.544777210317836; +39 3487372473, +39 3429415024; 31.10. - 1.3. only groups, price: 18 w/o linen; https://www.viefrancigene.org/en/resource/accomodation/vf35-60-torrenieri-pellegrinaio-del-poggio/
San Quirico D’Orcia; Via Delle Carbonaie 18; Ostello Parrocchia Collegiata; 43.06045288546583, 11.60308653965561; +39 0577897236; ; https://www.viefrancigene.org/en/resource/accomodation/vf34-90-san-quirico-dorcia-collegiata/
San Quirico D’Orcia; Via Dante Alighieri 33; Il Palazzo Del Pellegrino; 43.06017649033563, 11.603854750485157; +39 0577899728, +39 3791294369; ; https://www.viefrancigene.org/en/resource/accomodation/vf34-90-san-quirico-dorcia-foresteria-del-comune/
San Quirico D’Orcia; Via delle Carbonaie 18; Ostello parrocchiale; 43.060575715793895, 11.603408966964304; +39 3477748732, +39 3480838684; ; https://www.viefrancigene.org/en/resource/accomodation/vf34-20-san-quirico-/
Gallina; Via Cassia 43/45; Ostello La Vecchia Posta; 42.99970306319812, 11.68441437105667; +39 3319972594, +39 339 1050576; dec to feb only for reservation of groups min. 3p, price: 16; https://www.viefrancigene.org/en/resource/accomodation/vf36-50-castiglione-dorcia-loc-gallina-la-vecchia/
Gallina; Via Cassia 69; Il Pollaio; 42.998318376518114, 11.684129459164184; +39 3517299644; open feb 1 - dec 20, price: 20; https://www.viefrancigene.org/en/resource/accomodation/vf36-50-castiglione-dorcia-loc-gallina-il-pollaio/
Abbadia S. Salvatore; Via Del Monastero 50; Abbazia Del S.S.Mo Salvatore; 42.882441121181756, 11.67610466493081; +39 0577777352; ;
Abbadia S. Salvatore; Via Mentana 31; Parrocchia Di S. Croce; 42.88026365899586, 11.676668370048183; +39 0577778225, +39 3291352014, +39 0577 778310; ; https://www.viefrancigene.org/en/resource/accomodation/vf-36-50-variante-abbadia-san-salvatore-parrocchia/
Contignano; Via Ettore Flori Snc; Ostello San Rocco; 42.97626922798844, 11.740455730858711; +39 3386584525; open mar to oct, price: 18; https://www.viefrancigene.org/en/resource/accomodation/vf36-65-contignano-ostello-san-rocco/
Radicofani; Piazza Anita Garibaldi 2; Ostello Rifugio Gestri; 42.89602721337096, 11.77064461279139; +39 3534047717, +39 057855684; ; https://www.viefrancigene.org/en/resource/accomodation/vf36-90-radicofani-rifugio-alceo-gestri/
Radicofani; Via Dello Spedale 2; Ospitale Santi Pietro E Giacomo; 42.896618737663914, 11.76842378653483; +39 3387982255, +39 3389205540; ; https://www.viefrancigene.org/en/resource/accomodation/vf36-10-radicofani-casa-daccoglienza-san-jacopo-di/
Ponte A Rigo; Ponte A Rigo; La Casa Del Pellegrino Accoglienza Santa Elisabetta; 42.82571044020134, 11.778508067500624; +39 057850004, +39 3343546142; price: donation; https://www.viefrancigene.org/en/resource/accomodation/vf37-60-ponte-a-rigo-la-casa-del-pellegrino-santa-elisabetta/
Proceno; Piazza Della Libertà 23; Casa Del Pellegrino; 42.757254045943036, 11.83082116581722; +39 3392586470, +39 3482640781; ; https://www.viefrancigene.org/en/resource/accomodation/vf36-80-proceno-casa-del-pellegrino/
Proceno; Via Cappuccini 23; Associazione Casa Di Lazzaro; [Coordinates]; +39 0763730177, +39 3394327383; ;
Acquapendente; Via Roma 51; La Casa Del Pellegrino; 42.74298305579259, 11.86733775805731; +39 3471662919; ;
Acquapendente; Via S. Allende 7; La Casa Di Teo; 42.73139459234281, 11.8614985397635; +39 3279281046; ;
Acquapendente; Via Santa Maria Maddalena 19; Aquesia House; 42.74514452205576, 11.866963108390458; +39 3458519718; ; https://www.viefrancigene.org/en/resource/accomodation/vf37-90-acquapendente-aquesia-house/
Acquapendente; Via Papiro 39; Il Papiro; 42.74290849399305, 11.863904657049783; +39 3393324227; ; https://www.google.com/maps/place/Alloggio+turistico+Il+Papiro/@42.742878,11.863892,19.93z/data=!4m12!1m5!3m4!2zNDLCsDQ0JzM0LjYiTiAxMcKwNTEnNTEuNyJF!8m2!3d42.7429392!4d11.8643505!3m5!1s0x13293b8e39b581dd:0x808b76abe43b6ae5!8m2!3d42.742892!4d11.8638999!16s%2Fg%2F11vf389myw!5m1!1e2?entry=ttu
Acquapendente; Vicolo Morelli 5; Piccola Perla; 42.74479361791435, 11.86603275572217; +39 3398105959; ; https://www.viefrancigene.org/en/resource/accomodation/vf37-90-acquapendente-piccola-perla/
Acquapendente; Predio S. Anna 151; Agriturismo Murera; 42.76875076344578, 11.874573613449247; +39 3336144823, +39 329741836; price: 15-20; https://www.viefrancigene.org/en/resource/accomodation/vf37-90-acquapendente-agriturismo-murera/
Bolsena; Piazza Santa Cristina 14; Suore Del Ss Sacramento; 42.64374227524821, 11.98896300899089; +39 0761586210; type: convents and parishes; https://www.viefrancigene.org/en/resource/accomodation/vf37-10-bolsena-istituto-suore-ss-sacramento/
Bolsena; Via Madonna Del Giglio 49; Foresteria Santa Maria Del Giglio; 42.64650934402865, 11.993627487741895; +39 0761799066; ; https://www.viefrancigene.org/en/resource/accomodation/vf37-90-bolsena-foresteria-santa-maria-del-giglio/
Bolsena; Corso Cavour 70; Casa Di Preghiera Santa Cristina; 42.64542829635086, 11.986453895905584; +39 3466044158; ; https://www.viefrancigene.org/en/resource/accomodation/vf37-90-bolsena-casa-di-preghiera-santa-cristina/
Montefiascone; Via San Francesco 3; Convento Cappuccini Raggio Di Sole; 42.52998637617224, 12.023869300854306; +39 3475900953; open all year, price: 12; https://www.viefrancigene.org/en/resource/accomodation/vf38-40-montefiascone-convento-raggio-di-sole/
Montefiascone; Via Garibaldi 31; Monastero San Pietro; 42.5386786372744, 12.03356276701042; +39 0761826066; type: convents and parishes; https://www.viefrancigene.org/en/resource/accomodation/vf38-20-montefiascone-monastero-spietro-monache-be/
Montefiascone; Via Paoletti 3; Pop Domus Peregrini; 42.51603314513629, 12.043807517737747; +39 3381838216, +39 3207772586; ; https://www.viefrancigene.org/en/resource/accomodation/vf38-80-montefiascone-domus-peregrini/
